DeLa,Id,PinaLa,Tip,Zile,RestrictiiTren_Id
"20141214","1","20151212","Da","16767",0
"20141214","1","20151212","Da","895",1
"20141214","1","20151212","Da","16767",2
"20141214","1","20151212","Da","16767",3
"20141214","1","20151212","Da","831",4
"20141214","1","20151212","Da","16767",5
"20141214","1","20151212","Da","16767",6
"20141214","1","20151212","Da","16767",7
"20141214","1","20151212","Da","16767",8
"20141214","1","20151212","Da","16767",9
"20141214","1","20151212","Da","16767",10
"20141214","1","20141224","Da","287",11
"20141227","2","20141231","Da","287",11
"20150103","3","20150412","Da","287",11
"20150414","4","20150430","Da","287",11
"20150502","5","20150531","Da","287",11
"20150602","6","20151129","Da","287",11
"20151202","7","20151212","Da","287",11
"20141214","1","20141221","Da","287",12
"20141227","2","20141228","Da","287",12
"20150103","3","20150201","Da","287",12
"20150207","4","20150412","Da","287",12
"20150418","5","20150430","Da","287",12
"20150502","6","20150531","Da","287",12
"20150602","7","20150621","Da","287",12
"20150627","8","20150628","Da","287",12
"20150704","9","20150705","Da","287",12
"20150711","10","20150712","Da","287",12
"20150718","11","20150719","Da","287",12
"20150725","12","20150726","Da","287",12
"20150801","13","20150802","Da","287",12
"20150808","14","20150809","Da","287",12
"20150815","15","20150816","Da","287",12
"20150822","16","20150823","Da","287",12
"20150829","17","20150830","Da","287",12
"20150905","18","20150906","Da","287",12
"20150912","19","20151129","Da","287",12
"20151202","20","20151212","Da","287",12
"20141214","1","20151212","Da","16767",13
"20141214","1","20151212","Da","319",14
"20141214","1","20151212","Da","16767",15
"20141214","1","20151212","Da","16767",16
"20141214","1","20141224","Da","287",17
"20141227","2","20141231","Da","287",17
"20150103","3","20150412","Da","287",17
"20150414","4","20150430","Da","287",17
"20150502","5","20150531","Da","287",17
"20150602","6","20151129","Da","287",17
"20151202","7","20151212","Da","287",17
"20141214","1","20151212","Da","16767",18
"20141214","1","20151212","Da","16767",19
"20141214","1","20151212","Da","16767",20
"20141214","1","20151212","Da","16767",21
"20141214","1","20151212","Da","16767",22
"20141214","1","20151212","Da","16767",23
"20141214","1","20151212","Da","16767",24
"20141214","1","20151212","Da","319",25
"20141214","1","20151212","Da","16767",26
"20141214","1","20151212","Da","16767",27
"20141214","1","20151212","Da","16767",28
"20141214","1","20151212","Da","16767",29
"20141214","1","20151212","Da","16767",30
"20141214","1","20151212","Da","16767",31
"20141214","1","20151212","Da","895",32
"20141214","1","20151212","Da","895",33
"20141214","1","20151212","Da","16767",34
"20141214","1","20151212","Da","16767",35
"20141214","1","20151212","Da","351",36
"20141214","1","20141221","Da","287",37
"20141227","2","20141228","Da","287",37
"20150103","3","20150201","Da","287",37
"20150207","4","20150412","Da","287",37
"20150418","5","20150430","Da","287",37
"20150502","6","20150531","Da","287",37
"20150602","7","20150621","Da","287",37
"20150627","8","20150628","Da","287",37
"20150704","9","20150705","Da","287",37
"20150711","10","20150712","Da","287",37
"20150718","11","20150719","Da","287",37
"20150725","12","20150726","Da","287",37
"20150801","13","20150801","Da","287",37
"20150809","14","20150809","Da","287",37
"20150905","15","20150906","Da","287",37
"20150912","16","20151129","Da","287",37
"20151202","17","20151212","Da","287",37
"20141214","1","20141221","Da","287",38
"20150103","2","20150131","Da","287",38
"20150207","3","20150410","Da","287",38
"20150418","4","20150430","Da","287",38
"20150502","5","20150531","Da","287",38
"20150602","6","20150621","Da","287",38
"20150913","7","20151129","Da","287",38
"20151202","8","20151212","Da","287",38
"20141214","1","20151212","Da","16767",39
"20141214","1","20151212","Da","16767",40
"20141214","1","20141224","Da","287",41
"20141227","2","20141231","Da","287",41
"20150103","3","20150412","Da","287",41
"20150414","4","20150430","Da","287",41
"20150502","5","20150531","Da","287",41
"20150602","6","20151129","Da","287",41
"20151202","7","20151212","Da","287",41
"20141214","1","20151212","Da","16767",42
"20141214","1","20151212","Da","16767",43
"20141214","1","20151212","Da","16767",44
"20141214","1","20151212","Da","16767",45
"20141214","1","20151212","Da","319",46
"20141214","1","20151212","Da","351",47
"20141214","1","20141224","Da","831",48
"20141227","2","20141231","Da","831",48
"20150103","3","20150412","Da","831",48
"20150414","4","20150430","Da","831",48
"20150502","5","20150531","Da","831",48
