Ajustari,CodStaDest,CodStaOrigine,DenStaDestinatie,DenStaOrigine,Km,Lungime,OraP,OraS,Rci,Rco,Restrictie,Secventa,StationareSecunde,TipOprire,Tonaj,VitezaLivret,Trasa_Id
"0","27888","23428","Ram. Budieni","Târgu Jiu","1600","250","44400","44580","R","R","0","1","0","N","500","80",0
"0","24575","27888","Amaradia","Ram. Budieni","4500","250","44580","44940","R","R","0","2","0","N","500","80",0
"0","24587","24575","Drăguţeşti h.","Amaradia","3400","250","45000","45300","R","R","0","3","60","C","500","80",0
"0","24599","24587","Cârbeşti Hm.","Drăguţeşti h.","3000","250","45360","45600","R","R","0","4","60","C","500","80",0
"0","24563","24599","Vârţ h.","Cârbeşti Hm.","4100","250","45660","45930","R","R","0","5","60","C","500","80",0
"0","24604","24563","Rogojelu","Vârţ h.","2400","250","45960","46140","R","R","0","6","30","C","500","80",0
"0","24628","24604","Km. 49+800 h.","Rogojelu","1800","250","46200","46380","R","R","0","7","60","C","500","80",0
"0","24616","24628","Rovinari Hm.","Km. 49+800 h.","1000","250","46440","46680","R","R","60","8","60","C","500","80",0
"0","18112","24616","Rovinari Sud h.","Rovinari Hm.","1400","250","46740","46860","R","R","0","9","60","C","500","100",0
"0","18100","18112","Roşia Jiu h.","Rovinari Sud h.","1700","250","46920","47040","R","R","0","10","60","C","500","100",0
"0","18095","18100","Vlăduleni Gorj h.","Roşia Jiu h.","4300","250","47100","47400","R","R","0","11","60","C","500","100",0
"0","18071","18095","Bâlteni h.","Vlăduleni Gorj h.","3800","250","47460","47700","R","R","0","12","60","C","500","100",0
"0","18069","18071","Peşteana Jiu h.","Bâlteni h.","2700","250","47760","47940","R","R","0","13","60","C","500","100",0
"0","18033","18069","Plopşoru","Peşteana Jiu h.","6000","250","48000","48360","R","R","0","14","60","C","500","100",0
"0","18019","18033","Sărdăneşti h.","Plopşoru","4500","250","48420","48720","R","R","0","15","60","C","500","100",0
"0","18007","18019","Gârbovu h.","Sărdăneşti h.","4300","250","48780","49080","R","R","0","16","60","C","500","100",0
"0","10938","18007","Turceni","Gârbovu h.","6600","250","49140","49560","R","R","120","17","60","C","500","100",0
"0","10938","10938","Turceni","Turceni","0","250","49560","49560","R","R","0","18","0","N","500","0",0
"0","12637","12613","Bradu de Sus","Piteşti","4500","275","48120","48480","R","R","0","1","0","N","550","80",1
"0","12687","12637","Pârvu Hm.","Bradu de Sus","5200","275","48540","48900","R","R","0","2","60","C","550","100",1
"0","12699","12687","Pârvu h.","Pârvu Hm.","4500","275","48960","49230","R","R","0","3","60","C","550","100",1
"0","12704","12699","Suseni h.","Pârvu h.","3200","275","49260","49530","R","R","0","4","30","C","550","100",1
"0","12728","12704","Costeşti","Suseni h.","4400","275","49560","49860","R","R","0","5","30","C","550","100",1
"0","12742","12728","Fâlfani Hm.","Costeşti","7900","275","49920","50400","R","R","0","6","60","C","550","80",1
"60","12766","12742","Stolnici Hm.","Fâlfani Hm.","8000","275","50460","51000","R","R","0","7","60","C","550","80",1
