Parametru,Secventa,Valoare,ModificariInParcurs_Id
"Numar","7","9403-2",4
"Putere","4","E",8
"Putere","44","D",8
"Numar","30","4205-2",9
"Numar","11","4206",10
"Putere","2","E",17
"Putere","2","D",18
"Numar","7","4084-1",36
"Putere","5","E",42
"Numar","2","5214",43
"Numar","19","5213-2",45
"Numar","22","4085",47
"Putere","20","E",60
"Putere","2","E",72
"Putere","10","E",73
"Numar","7","4135",82
"Putere","7","D",82
"Putere","3","E",85
"Numar","13","2567-2",89
"Putere","13","D",97
"Putere","11","E",100
"Putere","2","E",102
"Numar","12","1746",104
"Numar","46","1746-1",104
"Numar","62","1746",104
"Putere","62","E",104
"Numar","20","2415-2",106
"Putere","2","D",110
"Numar","18","1819-2",110
"Numar","25","1819",110
"Numar","79","1819-2",110
"Putere","21","E",118
"Numar","36","1639",121
"Numar","11","5402",122
"Numar","12","1820",123
"Numar","64","1820-1",123
"Numar","70","1820",123
"Putere","2","E",125
"Numar","3","6822-1",131
"Numar","4","7689-2",132
"Putere","21","E",137
"Numar","11","7686",146
"Putere","2","E",150
"Putere","4","E",153
"Numar","11","1541-2",159
"Numar","34","1541",159
"Numar","68","1541-2",159
"Putere","4","E",160
"Putere","46","D",160
"Putere","5","D",169
"Putere","13","D",175
"Putere","2","E",181
"Putere","2","E",182
"Putere","2","E",185
"Numar","5","5565",188
"Numar","13","4082-1",189
"Putere","28","E",193
"Numar","38","1861",193
"Putere","2","D",199
"Numar","40","5201-2",204
"Putere","41","E",209
"Numar","5","5563",218
"Putere","3","E",221
"Numar","7","4087",241
"Numar","28","4087-2",241
"Numar","48","4087",241
"Numar","12","1944",256
"Putere","12","D",256
"Putere","44","E",256
"Numar","151","1944-1",256
"Putere","9","E",262
"Numar","5","9615-2",264
"Numar","43","1732-1",270
"Putere","2","E",272
"Numar","5","4146",272
"Numar","14","4146-1",272
"Putere","2","D",273
"Numar","18","4094-1",273
"Putere","37","E",278
"Putere","2","D",279
"Putere","2","E",284
"Numar","12","6823",289
"Putere","2","E",291
"Putere","17","E",297
"Putere","2","E",303
"Putere","2","E",304
"Putere","17","E",306
"Putere","2","E",312
"Numar","11","9616",320
"Putere","2","E",321
"Numar","60","1821",334
"Putere","2","E",337
"Putere","3","E",340
"Putere","2","E",345
"Numar","18","2441-2",348
"Numar","25","2441",348
"Numar","32","2441-2",348
"Putere","96","D",356
"Numar","139","1833-2",356
"Putere","158","E",356
"Numar","11","9614",357
"Numar","5","5571",364
"Numar","18","4086-1",371
"Numar","38","4086",371
"Numar","59","4086-1",371
"Putere","2","E",375
"Numar","30","5401-2",378
"Putere","11","E",390
"Putere","8","E",393
"Putere","4","E",394
"Putere","79","D",394
"Putere","11","E",396
"Numar","3","6826-1",400
"Numar","25","6826",400
"Numar","20","1699",407
"Numar","28","1699-2",407
"Numar","29","1699",407
"Putere","2","E",413
"Putere","4","D",414
"Putere","33","E",416
"Numar","2","5570-1",420
"Putere","2","E",424
"Numar","15","5403-2",429
"Putere","2","E",433
"Putere","2","E",436
"Putere","2","D",439
"Putere","7","E",440
"Putere","15","D",440
"Putere","3","D",444
"Putere","11","E",447
"Putere","2","E",450
"Putere","92","D",450
"Putere","3","D",456
"Numar","18","2444",457
"Numar","147","1932-1",466
"Putere","4","E",468
"Numar","11","7688",473
"Numar","53","2070-1",474
"Numar","13","6827-2",481
"Putere","13","D",481
"Numar","35","6827",481
"Numar","11","9618",482
"Numar","49","1862-1",489
"Putere","5","D",493
"Putere","2","E",495
"Numar","60","1931",497
"Putere","4","E",499
"Putere","87","D",499
"Putere","3","E",500
"Numar","8","2442",502
"Putere","2","E",504
"Numar","5","9619-2",509
"Putere","2","E",513
"Putere","4","D",515
"Numar","149","1822-1",517
"Numar","25","480-1",530
"Putere","36","D",531
"Putere","44","E",531
"Putere","4","E",537
"Putere","4","E",539
"Numar","11","9620",549
"Putere","3","E",552
"Putere","134","E",556
"Putere","12","D",558
"Putere","17","D",559
"Putere","3","D",569
"Numar","3","5562-1",572
"Numar","27","1871",573
"Putere","3","E",576
"Putere","2","E",589
"Numar","40","5207-2",596
"Putere","5","E",600
"Putere","13","D",600
"Numar","2","2562",605
"Putere","4","E",610
"Putere","46","D",610
"Putere","3","E",617
"Numar","53","1725",618
"Putere","53","D",618
"Putere","2","E",629
"Numar","33","4110-1",630
"Putere","2","E",641
"Putere","2","E",653
"Putere","2","D",658
"Numar","7","1946-1",658
"Numar","114","1823-2",662
"Numar","133","1823",662
"Putere","5","E",666
"Putere","5","E",670
"Putere","3","E",671
"Numar","12","1766",671
"Numar","66","1766-1",671
"Numar","89","1766",671
"Putere","55","E",674
"Numar","33","1962-1",677
"Numar","56","1962",677
"Numar","68","1962-1",677
"Numar","12","2569-2",678
"Putere","2","E",679
"Numar","8","9404",682
"Putere","5","E",684
"Numar","11","1812",685
"Putere","2","D",686
"Putere","2","E",702
"Numar","19","1870-1",705
"Numar","26","1870",705
"Numar","27","1870-1",705
"Putere","17","E",714
"Numar","5","9617-2",717
"Numar","2","5212",724
"Putere","2","E",725
"Numar","79","2023-2",730
"Putere","3","E",731
"Putere","13","D",731
"Numar","32","1834",731
"Putere","76","E",731
"Numar","114","1834-1",731
"Putere","5","E",734
"Numar","12","1724-1",742
"Putere","2","E",744
"Numar","5","8343",744
"Numar","13","8343-2",744
"Numar","20","2443-2",745
"Numar","27","2443",745
"Numar","34","2443-2",745
"Putere","2","E",749
"Numar","13","2561-2",753
"Numar","7","9401-2",767
"Putere","2","E",768
"Numar","23","1540",768
"Numar","57","1540-1",768
"Numar","80","1540",768
"Numar","96","1837-2",778
"Numar","119","1837",778
"Putere","139","D",778
"Numar","171","1837-2",778
"Numar","23","1731",779
"Numar","89","481",784
"Putere","6","D",789
"Numar","27","1961",790
"Numar","42","1961-2",790
"Putere","42","D",790
"Numar","62","1961",790
"Numar","1","5208",791
"Numar","3","2570",797
"Numar","33","1865",799
"Putere","2","E",800
"Putere","2","E",801
"Numar","104","1745-2",802
"Numar","121","1745",802
"Numar","153","1745-2",802
"Numar","12","2061",809
"Putere","12","D",809
"Numar","13","2563-2",818
"Putere","7","D",820
"Putere","14","E",825
"Putere","118","E",834
"Numar","13","2024",842
"Putere","2","E",843
"Putere","3","E",848
"Putere","4","D",853
"Numar","5","9613-2",863
"Putere","2","D",869
"Numar","12","1721",869
"Numar","3","5566-1",877
"Numar","11","5408",882
"Numar","3","2560",885
"Putere","3","D",885
"Putere","33","E",887
"Putere","2","E",891
"Numar","5","4144",891
"Numar","14","4144-1",891
"Putere","14","D",891
"Putere","2","E",894
"Putere","13","E",895
"Putere","2","E",897
"Putere","2","E",898
"Numar","3","5564-1",908
"Numar","2","2564",911
"Putere","4","D",919
"Putere","2","E",924
"Numar","18","4092-1",924
"Putere","2","D",938
"Putere","2","E",939
"Putere","7","E",942
"Numar","59","1945",947
"Putere","91","E",947
"Numar","198","1945-2",947
"Putere","2","E",948
"Putere","21","E",950
"Putere","4","E",974
"Putere","104","D",974
"Numar","13","4145",979
"Putere","13","E",979
"Numar","24","4145-2",979
"Numar","3","7687-2",980
"Putere","33","E",985
"Numar","97","1765-2",987
"Numar","119","1765",987
"Numar","173","1765-2",987
"Putere","2","E",992
"Putere","3","D",998
"Numar","44","1531-2",1000
"Numar","98","2801",1001
"Putere","19","E",1005
"Putere","2","E",1011
"Numar","24","2026-1",1020
"Numar","43","2026",1020
"Putere","43","E",1020
"Numar","7","2412",1023
"Putere","8","D",1023
"Numar","13","4141",1030
"Putere","13","E",1030
"Numar","12","1622",1032
"Putere","2","E",1041
"Putere","5","E",1043
"Putere","2","E",1051
"Numar","33","4093",1052
"Putere","6","D",1055
"Putere","13","E",1058
"Numar","15","5405-2",1061
"Putere","6","D",1066
"Putere","4","E",1074
"Numar","13","2565-2",1078
"Putere","4","E",1081
"Putere","2","E",1096
"Putere","4","E",1108
"Putere","46","D",1108
"Putere","2","E",1113
"Putere","4","E",1116
"Putere","36","D",1119
"Numar","9","2568",1128
"Numar","2","1552",1129
"Putere","2","D",1131
"Numar","11","1698-1",1133
"Numar","21","2039",1134
"Numar","3","2566",1137
"Numar","114","1992-1",1139
"Putere","4","E",1140
"Putere","5","E",1142
"Numar","12","1843-2",1142
"Numar","66","1843",1142
"Numar","89","1843-2",1142
"Putere","2","E",1145
"Putere","2","E",1146
"Numar","23","4111",1153
"Putere","4","E",1154
"Putere","12","E",1162
"Numar","60","1991",1165
