Trasa_Id,CodStatieFinala,CodStatieInitiala,Id,Tip,Trase_Id
0,"10938","23428","1","Implicita",0
1,"12948","12613","1","Implicita",1
2,"32015","32663","1","Implicita",2
3,"10770","23624","1","Implicita",3
4,"12895","10574","1","Implicita",4
5,"80684","83222","1","Implicita",5
6,"50691","50017","1","Implicita",6
7,"50017","50691","1","Implicita",7
8,"60921","10017","1","Implicita",8
9,"42967","54817","1","Implicita",9
10,"54817","42967","1","Implicita",10
11,"32015","41195","1","Implicita",11
12,"41195","41444","1","Implicita",12
13,"45452","45153","1","Implicita",13
14,"45531","32663","1","Implicita",14
15,"44329","41444","1","Implicita",15
16,"41444","44329","1","Implicita",16
17,"41195","32015","1","Implicita",17
18,"11906","32663","1","Implicita",18
19,"50691","51358","1","Implicita",19
20,"51358","51645","1","Implicita",20
21,"53007","50691","1","Implicita",21
22,"50811","50342","1","Implicita",22
23,"53007","53174","1","Implicita",23
24,"71059","50691","1","Implicita",24
25,"50342","50691","1","Implicita",25
26,"71059","50691","1","Implicita",26
27,"12895","12613","1","Implicita",27
28,"10017","10770","1","Implicita",28
29,"10017","11140","1","Implicita",29
30,"11140","10017","1","Implicita",30
31,"10770","10017","1","Implicita",31
32,"12948","12613","1","Implicita",32
33,"12613","12948","1","Implicita",33
34,"45323","09408","1","Implicita",34
35,"45323","09408","1","Implicita",35
36,"41444","45452","1","Implicita",36
37,"41846","45452","1","Implicita",37
38,"45452","41846","1","Implicita",38
39,"44240","41444","1","Implicita",39
40,"09408","45323","1","Implicita",40
41,"32663","45153","1","Implicita",41
42,"21834","11906","1","Implicita",42
43,"53174","40373","1","Implicita",43
44,"53174","50691","1","Implicita",44
45,"40373","53174","1","Implicita",45
46,"41444","45323","1","Implicita",46
47,"45452","41444","1","Implicita",47
48,"32015","32261","1","Implicita",48
49,"32015","32261","1","Implicita",49
50,"32302","32015","1","Implicita",50
51,"32261","32015","1","Implicita",51
52,"32261","32015","1","Implicita",52
53,"32261","32015","1","Implicita",53
54,"32015","32261","1","Implicita",54
55,"32388","32663","1","Implicita",55
56,"32663","32388","1","Implicita",56
57,"32663","32388","1","Implicita",57
58,"32015","32261","1","Implicita",58
59,"32388","32663","1","Implicita",59
60,"11906","32663","1","Implicita",60
61,"21236","21286","1","Implicita",61
62,"21559","21236","1","Implicita",62
63,"11554","11906","1","Implicita",63
64,"11231","11554","1","Implicita",64
65,"11231","11554","1","Implicita",65
66,"21236","11695","1","Implicita",66
67,"22357","22503","1","Implicita",67
68,"22436","22254","1","Implicita",68
69,"12613","12948","1","Implicita",69
70,"41638","41444","1","Implicita",70
71,"41444","41638","1","Implicita",71
72,"41195","42967","1","Implicita",72
73,"42967","41195","1","Implicita",73
74,"41444","41638","1","Implicita",74
75,"31774","42606","1","Implicita",75
76,"42606","31774","1","Implicita",76
77,"20892","20658","1","Implicita",77
78,"30691","40139","1","Implicita",78
79,"40373","30691","1","Implicita",79
80,"70237","50017","1","Implicita",80
81,"50017","70237","1","Implicita",81
82,"43820","41054","1","Implicita",82
83,"32182","32015","1","Implicita",83
84,"10445","14518","1","Implicita",84
85,"50342","10017","1","Implicita",85
86,"14049","10287","1","Implicita",86
87,"09461","10017","1","Implicita",87
88,"45452","41638","1","Implicita",88
89,"31334","20658","1","Implicita",89
90,"31217","30691","1","Implicita",90
91,"82072","10017","1","Implicita",91
92,"45323","41444","1","Implicita",92
93,"11554","11906","1","Implicita",93
94,"50342","53265","1","Implicita",94
95,"60921","61092","1","Implicita",95
96,"32015","42606","1","Implicita",96
97,"13198","10017","1","Implicita",97
98,"11906","11140","1","Implicita",98
99,"14049","10287","1","Implicita",99
100,"50811","60921","1","Implicita",100
101,"32015","32663","1","Implicita",101
102,"31645","32015","1","Implicita",102
103,"35407","09446","1","Implicita",103
104,"10017","45452","1","Implicita",104
105,"71059","50691","1","Implicita",105
106,"31645","20658","1","Implicita",106
107,"50691","50342","1","Implicita",107
108,"44240","41444","1","Implicita",108
109,"10017","09461","1","Implicita",109
110,"11906","42606","1","Implicita",110
111,"61092","60921","1","Implicita",111
112,"11906","11231","1","Implicita",112
113,"11906","16645","1","Implicita",113
114,"20816","20658","1","Implicita",114
115,"16281","11554","1","Implicita",115
116,"80892","81183","1","Implicita",116
117,"32388","32663","1","Implicita",117
118,"50342","80892","1","Implicita",118
119,"21925","21834","1","Implicita",119
120,"40373","40256","1","Implicita",120
121,"80892","30691","1","Implicita",121
122,"50691","60921","1","Implicita",122
123,"42606","11906","1","Implicita",123
124,"10017","30691","1","Implicita",124
125,"42967","32015","1","Implicita",125
126,"80892","50342","1","Implicita",126
127,"43820","43703","1","Implicita",127
128,"32663","45531","1","Implicita",128
129,"32261","32015","1","Implicita",129
130,"32015","41638","1","Implicita",130
131,"45452","09410","1","Implicita",131
132,"11906","09661","1","Implicita",132
133,"40256","40373","1","Implicita",133
134,"82072","80361","1","Implicita",134
135,"23624","10770","1","Implicita",135
136,"10287","14049","1","Implicita",136
137,"50342","80892","1","Implicita",137
138,"17417","50017","1","Implicita",138
139,"81183","80892","1","Implicita",139
140,"10445","14518","1","Implicita",140
141,"51645","51358","1","Implicita",141
142,"21834","21236","1","Implicita",142
143,"51358","51645","1","Implicita",143
144,"50017","82072","1","Implicita",144
145,"23894","21236","1","Implicita",145
146,"09661","11906","1","Implicita",146
147,"70237","10017","1","Implicita",147
148,"41638","45452","1","Implicita",148
149,"80892","81183","1","Implicita",149
150,"10445","17417","1","Implicita",150
151,"10017","13198","1","Implicita",151
152,"16281","11554","1","Implicita",152
153,"41054","10017","1","Implicita",153
154,"54661","51607","1","Implicita",154
155,"11140","11906","1","Implicita",155
156,"83222","80684","1","Implicita",156
157,"71059","70512","1","Implicita",157
158,"10574","23624","1","Implicita",158
159,"30691","60921","1","Implicita",159
160,"60921","10017","1","Implicita",160
161,"12613","10017","1","Implicita",161
162,"60921","71059","1","Implicita",162
163,"23428","10938","1","Implicita",163
164,"15172","10770","1","Implicita",164
165,"30691","40139","1","Implicita",165
166,"81183","10017","1","Implicita",166
167,"80892","10017","1","Implicita",167
168,"15055","10770","1","Implicita",168
169,"10770","12895","1","Implicita",169
170,"60658","60921","1","Implicita",170
171,"51750","51671","1","Implicita",171
172,"20658","10574","1","Implicita",172
173,"10770","10445","1","Implicita",173
174,"11695","15756","1","Implicita",174
175,"13198","10017","1","Implicita",175
176,"80892","80684","1","Implicita",176
177,"10017","80892","1","Implicita",177
178,"41444","41638","1","Implicita",178
179,"51059","53813","1","Implicita",179
180,"11695","11906","1","Implicita",180
181,"21236","21834","1","Implicita",181
182,"41195","32015","1","Implicita",182
183,"11906","11231","1","Implicita",183
184,"20232","20658","1","Implicita",184
185,"30691","17417","1","Implicita",185
186,"10017","09711","1","Implicita",186
187,"80361","50017","1","Implicita",187
188,"51645","54233","1","Implicita",188
189,"45452","44329","1","Implicita",189
190,"21236","31645","1","Implicita",190
191,"10017","12613","1","Implicita",191
192,"32015","09422","1","Implicita",192
193,"60921","80892","1","Implicita",193
194,"50017","70237","1","Implicita",194
195,"81183","80892","1","Implicita",195
196,"11906","10017","1","Implicita",196
197,"55110","54661","1","Implicita",197
198,"30691","10017","1","Implicita",198
199,"17417","12613","1","Implicita",199
200,"32015","31645","1","Implicita",200
201,"09422","32015","1","Implicita",201
202,"10017","30691","1","Implicita",202
203,"32015","09422","1","Implicita",203
204,"40373","50691","1","Implicita",204
205,"22515","10017","1","Implicita",205
206,"50691","60309","1","Implicita",206
207,"32388","32261","1","Implicita",207
208,"30691","10017","1","Implicita",208
209,"51645","81183","1","Implicita",209
210,"43466","55110","1","Implicita",210
211,"80892","81183","1","Implicita",211
212,"30691","20232","1","Implicita",212
213,"80505","82204","1","Implicita",213
214,"31645","31401","1","Implicita",214
215,"12431","13198","1","Implicita",215
216,"15756","11695","1","Implicita",216
217,"10017","10770","1","Implicita",217
218,"51645","54233","1","Implicita",218
219,"50017","70237","1","Implicita",219
220,"31217","30691","1","Implicita",220
221,"11906","21834","1","Implicita",221
222,"45531","45452","1","Implicita",222
223,"16281","11554","1","Implicita",223
224,"40402","50691","1","Implicita",224
225,"51607","10017","1","Implicita",225
226,"45452","41638","1","Implicita",226
227,"50017","70237","1","Implicita",227
228,"21236","11695","1","Implicita",228
229,"11906","21834","1","Implicita",229
230,"15172","10770","1","Implicita",230
231,"71059","50342","1","Implicita",231
232,"32015","32663","1","Implicita",232
233,"42606","40830","1","Implicita",233
234,"12833","12948","1","Implicita",234
235,"10017","12613","1","Implicita",235
236,"10770","23624","1","Implicita",236
237,"71059","70706","1","Implicita",237
238,"31334","31645","1","Implicita",238
239,"11906","11554","1","Implicita",239
240,"14049","10017","1","Implicita",240
241,"32015","45452","1","Implicita",241
242,"51059","53916","1","Implicita",242
243,"40579","30691","1","Implicita",243
244,"50691","50342","1","Implicita",244
245,"10017","51607","1","Implicita",245
246,"12948","12613","1","Implicita",246
247,"10287","14049","1","Implicita",247
248,"31401","30691","1","Implicita",248
249,"21286","23624","1","Implicita",249
250,"60921","60309","1","Implicita",250
251,"30691","50017","1","Implicita",251
252,"55287","51607","1","Implicita",252
253,"51059","50691","1","Implicita",253
254,"82072","50017","1","Implicita",254
255,"40971","42967","1","Implicita",255
256,"81183","45452","1","Implicita",256
257,"20490","12948","1","Implicita",257
258,"80505","80892","1","Implicita",258
259,"17417","50342","1","Implicita",259
260,"32015","41195","1","Implicita",260
261,"10445","10770","1","Implicita",261
262,"31645","21236","1","Implicita",262
263,"23428","10017","1","Implicita",263
264,"11906","11695","1","Implicita",264
265,"51645","54233","1","Implicita",265
266,"40830","42606","1","Implicita",266
267,"23624","21236","1","Implicita",267
268,"10017","23428","1","Implicita",268
269,"70237","50017","1","Implicita",269
270,"30691","71059","1","Implicita",270
271,"16841","17015","1","Implicita",271
272,"42606","42967","1","Implicita",272
273,"41444","32015","1","Implicita",273
274,"80361","82072","1","Implicita",274
275,"31217","21028","1","Implicita",275
276,"22436","12948","1","Implicita",276
277,"61092","60921","1","Implicita",277
278,"10017","60921","1","Implicita",278
279,"11906","20658","1","Implicita",279
280,"21834","32663","1","Implicita",280
281,"53813","51059","1","Implicita",281
282,"12613","10017","1","Implicita",282
283,"10017","10770","1","Implicita",283
284,"10902","11231","1","Implicita",284
285,"09461","10017","1","Implicita",285
286,"51059","53813","1","Implicita",286
287,"30691","31645","1","Implicita",287
288,"41444","41638","1","Implicita",288
289,"09410","45452","1","Implicita",289
290,"16281","11554","1","Implicita",290
291,"42967","32015","1","Implicita",291
292,"43612","43703","1","Implicita",292
293,"70512","50342","1","Implicita",293
294,"10017","81183","1","Implicita",294
295,"22436","20658","1","Implicita",295
296,"31774","42606","1","Implicita",296
297,"10017","80892","1","Implicita",297
